jobType,jobNo,jobName,jobNameSnippet,jobRole,jobRo,jobAddrNo,jobAddrNoDesc,jobAddress,description,descWithoutHighlight,optionEdu,period,periodDesc,applyCnt,applyType,applyDesc,custNo,custName,coIndustry,coIndustryDesc,salaryLow,salaryHigh,salaryDesc,s10,appearDate,appearDateDesc,optionZone,isApply,applyDate,userApplyCount,isSave,descSnippet,tags,landmark,link,jobsource,jobNameRaw,custNameRaw,lon,lat,remoteWorkType,major,salaryType,dist,mrt,mrtDesc,isActivelyHiring,source_keyword
1,12854525,實習律師,實習律師,1,1,6001001001,台北市中正區,汀州路二段207號2樓,"圓矩法律事務所【#實習律師】徵才，誠摯邀請您加入

圓矩法律事務所，由擁有台美頂尖法學院背景之青壯年律師共同組成，兼具訴訟與非訟案源，每人都將自己法學知識與經驗注入在法律實踐中。我們期待能透過實習律師找到長久合作的夥伴。 

▶ 多元案件
我們提供客戶訴訟、法律顧問、新創法務三大專案，以發展綜合型事務所為目標，承接不同領域多元案件，兼具本土／涉外與訴訟／非訟事務，使您能在不同領域中發揮所學，不斷挑戰自己，成長為全方位的專業律師。

▶ 專業領域
我們特別專注於新創事業、資訊隱私與科技、網路自媒體及文化創意產業、醫療美容、公共工程、商標與著作權訴訟、性別與家事訴訟等領域，讓您有機會深耕自己的專業領域，成為該領域的佼佼者。

▶ 國際化視野
我們與美國洛杉磯分所緊密合作，並有歐洲與亞洲合作律師，得以串聯全球法務資源，重視國際交流活動，讓您有機會參與涉外案件，拓展國際化視野。

▶ 多元價值
本所重視多元價值，律師均長期關注公共參與及參與公會、冤獄平反協會、刑事辯護律師協會、伴侶盟等NGO事務或公益案件，在勞動權益、憲法權利、刑事人權、性別平權議題積極參與，以實現法律專業的公平與正義。

▶ 團隊合作
我們倡導團隊合作，樂於討論和共同辦案。我們重視法務行政與內勤同仁，建有電子卷證及案件管理系統，提供友善支持全力辦案之環境。不定期舉辦聚餐和手搖飲；常備咖啡與零食，讓團隊更加融洽，共同迎接挑戰。

▶ 職涯發展
在這裡，您將有機會參與各類案件，並透過與團隊的合作，不斷提升自己的職業能力。我們期待優秀的實習律師轉正成為我們的夥伴，更鼓勵創新思維和積極進取的態度，提供國外留學申請協助、獎助學金、貸款及補助在職進修課程，為您的職涯發展描繪更廣闊的天際線。
如果您擁有熱情、創造力和對法律的熱忱，歡迎加入我們，成為我們的一員。
=============================

【職缺與待遇】
職缺：實習律師（本次開缺2人）
（應具律師資格，未律訓可，但律訓期間不計入實習期間）

待遇：學士34,000-40,000／碩士40,000-50,000
（視求職者學經歷和面試表現，於通知錄取時決定）
（在學中可，但除律訓外實習期間，應專職實習）

【工作地點】
台北市中正區汀州路二段207號、205號

【工作時間】
工作時間：週一至週五上午9:00至下午18:00
（含午休一小時，依法給付加班費）

【到職時間】
預計為114年6月下旬到七月上旬，確定錄取後將與錄取者協商後共同決定。

【應徵方式】
1. 請於114/6/20(週五)中午12:00前，於電郵主旨敘明：「應徵圓矩實習」，並將履歷寄送至 info2@ozgoodwin.com。

2. 本次擬開徵實習之指導律師：蔡晴羽律師、謝孟釗律師（採共同面試為原則，如有特別偏好請於履歷中註明）

3. 履歷採 #隨到隨審，本所擇優通知面試，於面試時商議到職時間，並擇優優先通知錄取與否決定；錄取額滿即停止履歷收件，未獲面試或錄取原則不再另行通知。

【福利】
定期下午茶、辦公室免費點心、不定期聚餐。
*實習律師如順利轉正職，本所提供受僱律師福利如下：
1. 三節獎金、生日禮金、結婚禮金。
2. 全額補助律師公會入會費及每月會費
3. 提供公會研習進修課程/刑事辯護律師協會課程費用補助方案
4. 受僱擬申請攻讀美國LLM學位提供托福考試及申請文件編修補助及無息留學貸款、獎助學金、留停方案。","圓矩法律事務所【#實習律師】徵才，誠摯邀請您加入

圓矩法律事務所，由擁有台美頂尖法學院背景之青壯年律師共同組成，兼具訴訟與非訟案源，每人都將自己法學知識與經驗注入在法律實踐中。我們期待能透過實習律師找到長久合作的夥伴。 

▶ 多元案件
我們提供客戶訴訟、法律顧問、新創法務三大專案，以發展綜合型事務所為目標，承接不同領域多元案件，兼具本土／涉外與訴訟／非訟事務，使您能在不同領域中發揮所學，不斷挑戰自己，成長為全方位的專業律師。

▶ 專業領域
我們特別專注於新創事業、資訊隱私與科技、網路自媒體及文化創意產業、醫療美容、公共工程、商標與著作權訴訟、性別與家事訴訟等領域，讓您有機會深耕自己的專業領域，成為該領域的佼佼者。

▶ 國際化視野
我們與美國洛杉磯分所緊密合作，並有歐洲與亞洲合作律師，得以串聯全球法務資源，重視國際交流活動，讓您有機會參與涉外案件，拓展國際化視野。

▶ 多元價值
本所重視多元價值，律師均長期關注公共參與及參與公會、冤獄平反協會、刑事辯護律師協會、伴侶盟等NGO事務或公益案件，在勞動權益、憲法權利、刑事人權、性別平權議題積極參與，以實現法律專業的公平與正義。

▶ 團隊合作
我們倡導團隊合作，樂於討論和共同辦案。我們重視法務行政與內勤同仁，建有電子卷證及案件管理系統，提供友善支持全力辦案之環境。不定期舉辦聚餐和手搖飲；常備咖啡與零食，讓團隊更加融洽，共同迎接挑戰。

▶ 職涯發展
在這裡，您將有機會參與各類案件，並透過與團隊的合作，不斷提升自己的職業能力。我們期待優秀的實習律師轉正成為我們的夥伴，更鼓勵創新思維和積極進取的態度，提供國外留學申請協助、獎助學金、貸款及補助在職進修課程，為您的職涯發展描繪更廣闊的天際線。
如果您擁有熱情、創造力和對法律的熱忱，歡迎加入我們，成為我們的一員。
=============================

【職缺與待遇】
職缺：實習律師（本次開缺2人）
（應具律師資格，未律訓可，但律訓期間不計入實習期間）

待遇：學士34,000-40,000／碩士40,000-50,000
（視求職者學經歷和面試表現，於通知錄取時決定）
（在學中可，但除律訓外實習期間，應專職實習）

【工作地點】
台北市中正區汀州路二段207號、205號

【工作時間】
工作時間：週一至週五上午9:00至下午18:00
（含午休一小時，依法給付加班費）

【到職時間】
預計為114年6月下旬到七月上旬，確定錄取後將與錄取者協商後共同決定。

【應徵方式】
1. 請於114/6/20(週五)中午12:00前，於電郵主旨敘明：「應徵圓矩實習」，並將履歷寄送至 info2@ozgoodwin.com。

2. 本次擬開徵實習之指導律師：蔡晴羽律師、謝孟釗律師（採共同面試為原則，如有特別偏好請於履歷中註明）

3. 履歷採 #隨到隨審，本所擇優通知面試，於面試時商議到職時間，並擇優優先通知錄取與否決定；錄取額滿即停止履歷收件，未獲面試或錄取原則不再另行通知。

【福利】
定期下午茶、辦公室免費點心、不定期聚餐。
*實習律師如順利轉正職，本所提供受僱律師福利如下：
1. 三節獎金、生日禮金、結婚禮金。
2. 全額補助律師公會入會費及每月會費
3. 提供公會研習進修課程/刑事辯護律師協會課程費用補助方案
4. 受僱擬申請攻讀美國LLM學位提供托福考試及申請文件編修補助及無息留學貸款、獎助學金、留停方案。",大學,00,不拘,00004,1,0~5人應徵,130000000191715,圓矩法律事務所,1008001001,法律服務業,0034000,0050000,"月薪34,000~50,000元",50,20250601,6/01,0,0,,0,0,"圓矩法律事務所【#實習律師】徵才，誠摯邀請您加入

圓矩法律事務所，由擁有台美頂尖法學院背景之青壯年律師共同組成，兼具訴訟與非訟案源，每人都將自己法學知識與經驗注入在法律實踐中。我們期待能透過實習律師找到長久合作的夥伴。 

▶ 多元案件
我們提供客戶訴訟、法律顧問、新創法務三大專案，以發展綜合型事務所為目標，承接不同領域多元案件，兼具本土／涉外與訴訟／非訟事務，使您能在不同領域中發揮所學，不斷挑戰自己，成長為全方位的專業律師。

▶ 專業領域
我們特別專注於新創事業、資訊隱私與科技、網路自媒體及文化創意產業、醫療美容、公共工程、商標與著作權訴訟、性別與家事訴訟等領域，讓您有機會深耕自己的專業領域，成為該領域的佼佼者。

▶ 國際化視野
我們與美國洛杉磯分所緊密合作，並有歐洲與亞洲合作律師，得以串聯全球法務資源，重視國際交流活動，讓您有機會參與涉外案件，拓展國際化視野。

▶ 多元價值
本所重視多元價值，律師均長期關注公共參與及參與公會、冤獄平反協會、刑事辯護律師協會、伴侶盟等NGO事務或公益案件，在勞動權益、憲法權利、刑事人權、性別平權議題積極參與，以實現法律專業的公平與正義。

▶ 團隊合作
我們倡導團隊合作，樂於討論和共同辦案。我們重視法務行政與內勤同仁，建有電子卷證及案件管理系統，提供友善支持全力辦案之環境。不定期舉辦聚餐和手搖飲；常備咖啡與零食，讓團隊更加融洽，共同迎接挑戰。

▶ 職涯發展
在這裡，您將有機會參與各類案件，並透過與團隊的合作，不斷提升自己的職業能力。我們期待優秀的實習律師轉正成為我們的夥伴，更鼓勵創新思維和積極進取的態度，提供國外留學申請協助、獎助學金、貸款及補助在職進修課程，為您的職涯發展描繪更廣闊的天際線。
如果您擁有熱情、創造力和對法律的熱忱，歡迎加入我們，成為我們的一員。
=============================

【職缺與待遇】
職缺：實習律師（本次開缺2人）
（應具律師資格，未律訓可，但律訓期間不計入實習期間）

待遇：學士34,000-40,000／碩士40,000-50,000
（視求職者學經歷和面試表現，於通知錄取時決定）
（在學中可，但除律訓外實習期間，應專職實習）

【工作地點】
台北市中正區汀州路二段207號、205號

【工作時間】
工作時間：週一至週五上午9:00至下午18:00
（含午休一小時，依法給付加班費）

【到職時間】
預計為114年6月下旬到七月上旬，確定錄取後將與錄取者協商後共同決定。

【應徵方式】
1. 請於114/6/20(週五)中午12:00前，於電郵主旨敘明：「應徵圓矩實習」，並將履歷寄送至 info2@ozgoodwin.com。

2. 本次擬開徵實習之指導律師：蔡晴羽律師、謝孟釗律師（採共同面試為原則，如有特別偏好請於履歷中註明）

3. 履歷採 #隨到隨審，本所擇優通知面試，於面試時商議到職時間，並擇優優先通知錄取與否決定；錄取額滿即停止履歷收件，未獲面試或錄取原則不再另行通知。

【福利】
定期下午茶、辦公室免費點心、不定期聚餐。
*實習律師如順利轉正職，本所提供受僱律師福利如下：
1. 三節獎金、生日禮金、結婚禮金。
2. 全額補助律師公會入會費及每月會費
3. 提供公會研習進修課程/刑事辯護律師協會課程費用補助方案
4. 受僱擬申請攻讀美國LLM學位提供托福考試及申請文件編修補助及無息留學貸款、獎助學金、留停方案。","{'emp': {'desc': '員工10人', 'param': '3'}}",距捷運古亭站約320公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7nim5?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/7nim5?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/1a2x6bm38j?jobsource=hotjob_chr'}",hotjob_chr,實習律師,圓矩法律事務所,121.5225278,25.0236889,0,['法律相關科系'],M,0.32,99001003010,捷運古亭站,True,實習
1,14655172,人力資源實習生（人力資源部）_I00016802,人力資源實習生（人力資源部）_I00016802,2,2,6001001005,台北市大安區,敦化南路二段335號20樓,"【工作內容】
•    協助執行員工訓練、招募與人資活動專案
•    協助人資系統資料維護與報表製作（如Power BI）
•    協助內部流程數位化（如流程自動化等）
•    主管交辦之其他人資相關工作

**可配合學校實習簽約","【工作內容】
•    協助執行員工訓練、招募與人資活動專案
•    協助人資系統資料維護與報表製作（如Power BI）
•    協助內部流程數位化（如流程自動化等）
•    主管交辦之其他人資相關工作

**可配合學校實習簽約",大學,00,不拘,00061,4,大於30人應徵,27236155000,國泰綜合證券股份有限公司,1004002002,證券及期貨業,0000200,0000210,時薪200~210元,30,20250529,5/29,4096,0,,0,0,"【工作內容】
•    協助執行員工訓練、招募與人資活動專案
•    協助人資系統資料維護與報表製作（如Power BI）
•    協助內部流程數位化（如流程自動化等）
•    主管交辦之其他人資相關工作

**可配合學校實習簽約","{'emp': {'desc': '員工1100人', 'param': '8'}}",距捷運六張犁站約450公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8q404?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/8q404?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/cifpbp4?jobsource=hotjob_chr'}",hotjob_chr,人力資源實習生（人力資源部）_I00016802,國泰綜合證券股份有限公司,121.5491994,25.0219942,0,[],H,0.45,99001001007,捷運六張犁站,True,實習
0,8293568,行銷公關 2025暑期實習生 (限需要實習學分) - 學生實習,行銷公關 2025暑期<em class='b-txt--highlight'>實習</em>生 (限需要<em class='b-txt--highlight'>實習</em>學分) - 學生<em class='b-txt--highlight'>實習</em>,1,1,6001001005,台北市大安區,羅斯福路2段91號20樓,"【申請資格】
1.暑期[[[實習]]]生，以傳播、新聞、廣告相關科系，三年級升四年級（限需要[[[實習]]]學分者）。
2.為了讓[[[實習]]]內容更為完整，若您在2025/07/01至2025/08/30間已有出國或其他個人安排，可能會影響[[[實習]]]全程參與，建議您斟酌後再行申請。","【申請資格】
1.暑期實習生，以傳播、新聞、廣告相關科系，三年級升四年級（限需要實習學分者）。
2.為了讓實習內容更為完整，若您在2025/07/01至2025/08/30間已有出國或其他個人安排，可能會影響實習全程參與，建議您斟酌後再行申請。",專科,00,不拘,00001,1,0~5人應徵,28969070000,亞典醫藥/醫療行銷公關_亞典行銷顧問有限公司,1006003001,廣告行銷公關業,0005000,0005000,"部分工時(月薪)5,000元",70,20250602,6/02,0,0,,0,0,"【申請資格】
1.暑期<em class='b-txt--highlight'>實習</em>生，以傳播、新聞、廣告相關科系，三年級升四年級（限需要<em class='b-txt--highlight'>實習</em>學分者）。
2.為了讓<em class='b-txt--highlight'>實習</em>內容更為完整，若您在2025/07/01至2025/08/30間已有出國或其他個人安排，可能會影響<em class='b-txt--highlight'>實習</em>全程參與，建議您斟酌後再行申請。","{'emp': {'desc': '員工18人', 'param': '3'}}",距捷運古亭站約190公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/4xrcw?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/4xrcw?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/db3fpgw?jobsource=n104bank2'}",,行銷公關 2025暑期實習生 (限需要實習學分) - 學生實習,亞典醫藥/醫療行銷公關_亞典行銷顧問有限公司,121.524045,25.0252742,0,"['大眾傳播學科類', '醫藥衛生學科類']",,0.19,99001003010,捷運古亭站,False,實習
2,13389873,2025年暑期實習｜技術支援實習生,2025年暑期<em class='b-txt--highlight'>實習</em>｜技術支援<em class='b-txt--highlight'>實習</em>生,2,2,6001002025,新北市五股區,五工二路109號,"歡迎對電子產業與材料有興趣的你，加入我們的[[[實習]]]生計畫！

【工作內容】
1. 膠材分析及實驗測試
2. 樣品製作與配方調製
3. 膠材知識庫文件製作
4. 點膠設備操作

【注意事項】
1. 此職缺為學生[[[實習]]]，歡迎大二(含)以上化工相關科系在學學","歡迎對電子產業與材料有興趣的你，加入我們的實習生計畫！

【工作內容】
1. 膠材分析及實驗測試
2. 樣品製作與配方調製
3. 膠材知識庫文件製作
4. 點膠設備操作

【注意事項】
1. 此職缺為學生實習，歡迎大二(含)以上化工相關科系在學學",專科,00,不拘,0,1,0~5人應徵,89441374000,喬越實業股份有限公司,1003001013,化學原料及其製品批發業,0030000,0030000,"月薪30,000元",50,20250602,6/02,4096,0,,0,0,"歡迎對電子產業與材料有興趣的你，加入我們的<em class='b-txt--highlight'>實習</em>生計畫！

【工作內容】
1. 膠材分析及實驗測試
2. 樣品製作與配方調製
3. 膠材知識庫文件製作
4. 點膠設備操作

【注意事項】
1. 此職缺為學生<em class='b-txt--highlight'>實習</em>，歡迎大二(含)以上化工相關科系在學學","{'emp': {'desc': '員工130人', 'param': '6'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7yzox?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7yzox?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/153731v4?jobsource=n104bank2'}",,2025年暑期實習｜技術支援實習生,喬越實業股份有限公司,121.4565638,25.0687752,0,"['化學工程相關', '材料工程相關']",M,,,,True,實習
0,14613739,小艾肯實習生,小艾肯<em class='b-txt--highlight'>實習</em>生,1,1,6001001011,台北市南港區,南港路2段147號3樓,"[[[實習]]]內容：
一、多媒體商務助理[[[實習]]]
1. 線上線下客服及管理
2. 行政公關接待及介紹
3. 拍攝及推播
二、⾳業⼯程助理[[[實習]]]
1. 錄音室軟硬體組裝
2. 攝影棚軟硬體組裝

*具備Mixcraft國際證照者優先錄取
","實習內容：
一、多媒體商務助理實習
1. 線上線下客服及管理
2. 行政公關接待及介紹
3. 拍攝及推播
二、⾳業⼯程助理實習
1. 錄音室軟硬體組裝
2. 攝影棚軟硬體組裝

*具備Mixcraft國際證照者優先錄取
",專科,00,不拘,00004,1,0~5人應徵,130000000000909,臺灣艾肯音樂科技有限公司,1001001004,多媒體傳播相關業,0028590,9999999,"月薪28,590元以上",50,20250602,6/02,0,0,,0,0,"<em class='b-txt--highlight'>實習</em>內容：
一、多媒體商務助理<em class='b-txt--highlight'>實習</em>
1. 線上線下客服及管理
2. 行政公關接待及介紹
3. 拍攝及推播
二、⾳業⼯程助理<em class='b-txt--highlight'>實習</em>
1. 錄音室軟硬體組裝
2. 攝影棚軟硬體組裝

*具備Mixcraft國際證照者優先錄取
","{'emp': {'desc': '員工15人', 'param': '3'}}",距捷運昆陽站約480公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8p817?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8p817?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bi00d?jobsource=n104bank2'}",,小艾肯實習生,臺灣艾肯音樂科技有限公司,121.5956556,25.0542147,0,[],M,0.48,99001005021,捷運昆陽站,True,實習
0,8986675,實習律師,<em class='b-txt--highlight'>實習</em>律師,1,1,6001002015,新北市中和區,中山路2段332巷19號2樓,"1. 法律研究（智慧財產法令為主）。
2.（[[[實習]]]）法院民事、刑事、行政訴訟處理。 
3.  智慧財產權事務處理。
4.  社會公益服務。
5.  其他事務所業務。
6.  6/16（一）起安排面試","1. 法律研究（智慧財產法令為主）。
2.（實習）法院民事、刑事、行政訴訟處理。 
3.  智慧財產權事務處理。
4.  社會公益服務。
5.  其他事務所業務。
6.  6/16（一）起安排面試",大學,00,不拘,0,1,0~5人應徵,130000000071533,同行法律事務所,1008001001,法律服務業,0032000,0035000,"月薪32,000~35,000元",50,20250602,6/02,0,0,,0,0,"1. 法律研究（智慧財產法令為主）。
2.（<em class='b-txt--highlight'>實習</em>）法院民事、刑事、行政訴訟處理。 
3.  智慧財產權事務處理。
4.  社會公益服務。
5.  其他事務所業務。
6.  6/16（一）起安排面試","{'emp': {'desc': '員工4人', 'param': '1'}}",距捷運中和站約220公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/5cm5v?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/5cm5v?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bjii5?jobsource=n104bank2'}",,實習律師,同行法律事務所,121.4943056,25.002569,0,['法律相關科系'],M,0.22,99001006006,捷運中和站,True,實習
2,14565800,【2025年遇見未來･富邦實習】學生職場實習_行銷美編與文宣,【2025年遇見未來･富邦<em class='b-txt--highlight'>實習</em>】學生職場<em class='b-txt--highlight'>實習</em>_行銷美編與文宣,2,2,6001001004,台北市松山區,實習工作地點以報到通知函為主,"[[[實習]]]單位：業務企劃科
期間：2025.7~2025.12
地點：台北

[[[實習]]]內容：
1.撰寫行銷活動文案。
2.設計與製作EDM、海報與PPT，包括設計、繪圖、動畫等美術編輯。
3.行銷企劃推動。

工作條件：
1.安排資深同仁帶領，有利及早熟悉","實習單位：業務企劃科
期間：2025.7~2025.12
地點：台北

實習內容：
1.撰寫行銷活動文案。
2.設計與製作EDM、海報與PPT，包括設計、繪圖、動畫等美術編輯。
3.行銷企劃推動。

工作條件：
1.安排資深同仁帶領，有利及早熟悉",大學,00,不拘,00004,1,0~5人應徵,27935073000,富邦人壽保險股份有限公司(總公司),1004003001,人身保險業,0000195,0000210,時薪195~210元,30,20250602,6/02,2101888,0,,0,0,"<em class='b-txt--highlight'>實習</em>單位：業務企劃科
期間：2025.7~2025.12
地點：台北

<em class='b-txt--highlight'>實習</em>內容：
1.撰寫行銷活動文案。
2.設計與製作EDM、海報與PPT，包括設計、繪圖、動畫等美術編輯。
3.行銷企劃推動。

工作條件：
1.安排資深同仁帶領，有利及早熟悉","{'emp': {'desc': '員工24000人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8o71k?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8o71k?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/ctztka0?jobsource=n104bank2'}",,【2025年遇見未來･富邦實習】學生職場實習_行銷美編與文宣,富邦人壽保險股份有限公司(總公司),121.5638621,25.0541591,0,[],H,,,,False,實習
0,11777348,行銷實習-學生實習,行銷<em class='b-txt--highlight'>實習</em>-學生<em class='b-txt--highlight'>實習</em>,1,1,6001008007,台中市西屯區,台灣大道三段658號13樓之2,透由專業的課程學習，培養金融保險的專業，對自己未來的金融理財會有相當程度的概念，並協助尋找自己未來想要就業的目標,透由專業的課程學習，培養金融保險的專業，對自己未來的金融理財會有相當程度的概念，並協助尋找自己未來想要就業的目標,高中,00,不拘,00003,1,0~5人應徵,130000000142386,錠嵂保險經紀人股份有限公司_中十二營業處(賴科銘),1004003001,人身保險業,0000190,0000190,時薪190元,30,20250602,6/02,0,0,,0,0,透由專業的課程學習，培養金融保險的專業，對自己未來的金融理財會有相當程度的概念，並協助尋找自己未來想要就業的目標,"{'emp': {'desc': '員工2200人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/70fgk?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/70fgk?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bl16a?jobsource=n104bank2'}",,行銷實習-學生實習,錠嵂保險經紀人股份有限公司_中十二營業處(賴科銘),120.6381317,24.1704725,0,[],H,,,,True,實習
0,4294991,實習律師,<em class='b-txt--highlight'>實習</em>律師,1,1,6001001005,台北市大安區,敦化南路二段2號8樓,[[[實習]]]律師,實習律師,大學,00,不拘,00004,1,0~5人應徵,77120587000,眾達國際法律事務所,1008001001,法律服務業,0000000,0000000,待遇面議,10,20250602,6/02,0,0,,0,0,<em class='b-txt--highlight'>實習</em>律師,"{'emp': {'desc': '員工70人', 'param': '5'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/2k21b?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/2k21b?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/zffltrs?jobsource=n104bank2'}",,實習律師,眾達國際法律事務所,121.548307,25.028692,0,['法律相關科系'],,,,,True,實習
2,14566240,【2025年遇見未來･富邦實習】學生職場實習_公關廣宣助理,【2025年遇見未來･富邦<em class='b-txt--highlight'>實習</em>】學生職場<em class='b-txt--highlight'>實習</em>_公關廣宣助理,2,2,6001001004,台北市松山區,實習工作地點以報到通知函為主,"[[[實習]]]單位：公關廣宣部
期間：2025.7~2026.6
地點：台北

[[[實習]]]內容：
1.新聞監測與分析。
2.公益活動協助執行。
3.依指派之議題進行資料蒐集與分析。
4.支援部門行政庶務。

工作環境：
1.安排資深同仁擔任師傅指導
2.不定期提","實習單位：公關廣宣部
期間：2025.7~2026.6
地點：台北

實習內容：
1.新聞監測與分析。
2.公益活動協助執行。
3.依指派之議題進行資料蒐集與分析。
4.支援部門行政庶務。

工作環境：
1.安排資深同仁擔任師傅指導
2.不定期提",大學,00,不拘,00002,1,0~5人應徵,27935073000,富邦人壽保險股份有限公司(總公司),1004003001,人身保險業,0000195,0000210,時薪195~210元,30,20250602,6/02,2101888,0,,0,0,"<em class='b-txt--highlight'>實習</em>單位：公關廣宣部
期間：2025.7~2026.6
地點：台北

<em class='b-txt--highlight'>實習</em>內容：
1.新聞監測與分析。
2.公益活動協助執行。
3.依指派之議題進行資料蒐集與分析。
4.支援部門行政庶務。

工作環境：
1.安排資深同仁擔任師傅指導
2.不定期提","{'emp': {'desc': '員工24000人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8o7ds?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8o7ds?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/ctztka0?jobsource=n104bank2'}",,【2025年遇見未來･富邦實習】學生職場實習_公關廣宣助理,富邦人壽保險股份有限公司(總公司),121.5638621,25.0541591,0,[],H,,,,False,實習
