jobType,jobNo,jobName,jobNameSnippet,jobRole,jobRo,jobAddrNo,jobAddrNoDesc,jobAddress,description,descWithoutHighlight,optionEdu,period,periodDesc,applyCnt,applyType,applyDesc,custNo,custName,coIndustry,coIndustryDesc,salaryLow,salaryHigh,salaryDesc,s10,appearDate,appearDateDesc,optionZone,isApply,applyDate,userApplyCount,isSave,descSnippet,tags,landmark,link,jobsource,jobNameRaw,custNameRaw,lon,lat,remoteWorkType,major,salaryType,dist,mrt,mrtDesc,isActivelyHiring,source_keyword
2,14661313,Summer Packaging Intern,Summer Packaging <em class='b-txt--highlight'>Intern</em>,1,1,6001001011,台北市南港區,三重路66號8樓,"As a Shock/Vibration &amp; Packaging Engineering [[[Intern]]], you will play a hands-on role in supporting the development and","As a Shock/Vibration & Packaging Engineering Intern, you will play a hands-on role in supporting the development and",大學,00,不拘,00007,2,6~10人應徵,130000000112234,台灣聯想環球科技股份有限公司,1001003001,電腦及其週邊設備製造業,0035000,9999999,"月薪35,000元以上",50,20250602,6/02,4104,0,,0,0,"As a Shock/Vibration &amp; Packaging Engineering <em class='b-txt--highlight'>Intern</em>, you will play a hands-on role in supporting the development and","{'zoneForeign': {'desc': '外商公司', 'param': 5}, 'emp': {'desc': '員工600人', 'param': '8'}}",距捷運南港展覽館站約210公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8q8qp?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8q8qp?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bkdwq?jobsource=n104bank2'}",,Summer Packaging Intern,台灣聯想環球科技股份有限公司,121.6142977,25.0572956,0,"['工業技藝及機械學科類', '工程學科類']",M,0.21,99001001024,捷運南港展覽館站,False,intern
0,14671131,CELINE Clienteling Intern,CELINE Clienteling <em class='b-txt--highlight'>Intern</em>,1,1,6001001007,台北市信義區,松高路1號12樓之2,"• Assist in store event planning, execution, and coordination.
• Support store operation arrangements.
• Complete ad-hoc tasks as needed.
• Monthly working hours: Approximately 130-150 hours.","• Assist in store event planning, execution, and coordination.
• Support store operation arrangements.
• Complete ad-hoc tasks as needed.
• Monthly working hours: Approximately 130-150 hours.",大學,00,不拘,0,1,0~5人應徵,22156322000,思琳股份有限公司,1003002013,百貨相關業,0000230,0000230,時薪230元,30,20250602,6/02,2097344,0,,0,0,"• Assist in store event planning, execution, and coordination.
• Support store operation arrangements.
• Complete ad-hoc tasks as needed.
• Monthly working hours: Approximately 130-150 hours.","{'zoneForeign': {'desc': '外商公司', 'param': 5}, 'emp': {'desc': '員工65人', 'param': '5'}}",距捷運市政府站約260公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8qgbf?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8qgbf?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/a6favgw?jobsource=n104bank2'}",,CELINE Clienteling Intern,思琳股份有限公司,121.5643078,25.039625,0,[],H,0.26,99001005018,捷運市政府站,True,intern
0,14670317,Summer Intern - 助理,Summer <em class='b-txt--highlight'>Intern</em> - 助理,1,1,6001001004,台北市松山區,復興北路99號15樓,"- 負責協助進行各種金融交易活動，包括外匯、利率和股票、衍生商品等
- 進行商品報價
- 研調報告資料蒐集與整理
- 協助追蹤市場趨勢和重要事件
- 協助準備簡報材料、報告和其他文件。
- 參與團隊內部會議和協調工作

投資助理扮演著極為重要的角色，主要負責協助投資經理各種交易等工作。
如果您擁有以上條件，並對金融市場充滿熱情和追求卓越，歡迎您加入我們的團隊，請盡快提交您的履歷。","- 負責協助進行各種金融交易活動，包括外匯、利率和股票、衍生商品等
- 進行商品報價
- 研調報告資料蒐集與整理
- 協助追蹤市場趨勢和重要事件
- 協助準備簡報材料、報告和其他文件。
- 參與團隊內部會議和協調工作

投資助理扮演著極為重要的角色，主要負責協助投資經理各種交易等工作。
如果您擁有以上條件，並對金融市場充滿熱情和追求卓越，歡迎您加入我們的團隊，請盡快提交您的履歷。",大學,00,不拘,0,1,0~5人應徵,130000000206063,凱盟投資股份有限公司,1004002003,其他投資理財相關業,0000000,0000000,待遇面議,10,20250602,6/02,0,0,,0,0,"- 負責協助進行各種金融交易活動，包括外匯、利率和股票、衍生商品等
- 進行商品報價
- 研調報告資料蒐集與整理
- 協助追蹤市場趨勢和重要事件
- 協助準備簡報材料、報告和其他文件。
- 參與團隊內部會議和協調工作

投資助理扮演著極為重要的角色，主要負責協助投資經理各種交易等工作。
如果您擁有以上條件，並對金融市場充滿熱情和追求卓越，歡迎您加入我們的團隊，請盡快提交您的履歷。","{'emp': {'desc': '員工10人', 'param': '3'}}",距捷運南京復興站約100公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8qfot?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8qfot?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bmeb3?jobsource=n104bank2'}",,Summer Intern - 助理,凱盟投資股份有限公司,121.5445375,25.0526544,0,[],,0.1,99001001011,捷運南京復興站,True,intern
2,14670541,Legal Intern法務實習生,Legal <em class='b-txt--highlight'>Intern</em>法務實習生,2,2,6001001007,台北市信義區,松高路1號10樓之2," Monday, Wednesday, and Thursday
About the Role:
We are looking for a proactive, detail-oriented Legal [[[Intern]]] to support a"," Monday, Wednesday, and Thursday
About the Role:
We are looking for a proactive, detail-oriented Legal Intern to support a",大學,00,不拘,0,1,0~5人應徵,130000000160088,隱適美台灣有限公司,1002015002,醫療器材製造業,0000250,0000300,時薪250~300元,30,20250602,6/02,4096,0,,0,0," Monday, Wednesday, and Thursday
About the Role:
We are looking for a proactive, detail-oriented Legal <em class='b-txt--highlight'>Intern</em> to support a",[],距捷運市政府站約260公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8qfv1?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8qfv1?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bleu0?jobsource=n104bank2'}",,Legal Intern法務實習生,隱適美台灣有限公司,121.5643078,25.039625,0,['法律學科類'],H,0.26,99001005018,捷運市政府站,True,intern
0,14670783,Intern of Global Partnership Sales Support,<em class='b-txt--highlight'>Intern</em> of Global Partnership Sales Support,2,2,6001001007,台北市信義區,松仁路123號6樓," business outcomes within the framework of Appier&#039;s innovative offerings. As a Support Partner Sales [[[Intern]]] at Appier, you"," business outcomes within the framework of Appier's innovative offerings. As a Support Partner Sales Intern at Appier, you",大學,02,1年,0,1,0~5人應徵,130000000042746,沛星互動科技股份有限公司,1001001004,多媒體傳播相關業,0000190,0000190,時薪190元,30,20250602,6/02,262144,0,,0,0," business outcomes within the framework of Appier&#039;s innovative offerings. As a Support Partner Sales <em class='b-txt--highlight'>Intern</em> at Appier, you","{'emp': {'desc': '員工500人', 'param': '8'}, 'remote': {'desc': '遠端工作'}}",距捷運象山站約210公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8qg1r?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8qg1r?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6biwai?jobsource=n104bank2'}",,Intern of Global Partnership Sales Support,沛星互動科技股份有限公司,121.5691534,25.0345273,1,[],H,0.21,99001002001,捷運象山站,True,intern
0,13604942,【Marketing】Digital Marketing Intern,【Marketing】Digital Marketing <em class='b-txt--highlight'>Intern</em>,2,2,6001001003,台北市中山區,中山北路三段22-1號,"我們正在尋找一位有具備創新思維且勇於挑戰的人才加入我們的團隊。
在這個職位您將能接觸到公司 AI 相關領域的服務與訓練，
期待與您共同打造出屬於 XRSPACE 最佳產品和服務！

【您將會執行這些工作】
[AI 領域產品]
．模型測試
．蒐集資料並協助建立資料庫
．合作提案發想/單位接洽
．監控成效與數據整理
．推廣素材製作

[內、外部溝通]
．產品執行溝通
．協助客戶經營事項 

[其他例行事項]
．定期文書/資料整理

【希望您具備這些經驗與能力】
．熱愛網路社群生態、喜歡隨時 follow 最新時事與資訊
．經常活躍於各大學生論壇平台 ( 例如: Dcard / Zuvio / FB校園版...等等 )
．樂於挑戰，勇於嘗試新事物
．能夠獨立作業，具備有效執行交辦事項的能力
．細心、抗壓性佳，能控管專案進度與時程


如果您渴望在變化快速的 AI 新創中成長、喜歡彈性自由的工作環境、喜歡自主解決問題也喜歡與人合作，那我們在找的就是您！
 ★ 點擊【應徵】，讓我們認識彼此，我們想和您聊聊未來可以一起完成的事！","我們正在尋找一位有具備創新思維且勇於挑戰的人才加入我們的團隊。
在這個職位您將能接觸到公司 AI 相關領域的服務與訓練，
期待與您共同打造出屬於 XRSPACE 最佳產品和服務！

【您將會執行這些工作】
[AI 領域產品]
．模型測試
．蒐集資料並協助建立資料庫
．合作提案發想/單位接洽
．監控成效與數據整理
．推廣素材製作

[內、外部溝通]
．產品執行溝通
．協助客戶經營事項 

[其他例行事項]
．定期文書/資料整理

【希望您具備這些經驗與能力】
．熱愛網路社群生態、喜歡隨時 follow 最新時事與資訊
．經常活躍於各大學生論壇平台 ( 例如: Dcard / Zuvio / FB校園版...等等 )
．樂於挑戰，勇於嘗試新事物
．能夠獨立作業，具備有效執行交辦事項的能力
．細心、抗壓性佳，能控管專案進度與時程


如果您渴望在變化快速的 AI 新創中成長、喜歡彈性自由的工作環境、喜歡自主解決問題也喜歡與人合作，那我們在找的就是您！
 ★ 點擊【應徵】，讓我們認識彼此，我們想和您聊聊未來可以一起完成的事！",專科,00,不拘,00004,1,0~5人應徵,130000000099607,未來市股份有限公司,1001001002,電腦軟體服務業,0000190,9999999,時薪190元以上,30,20250602,6/02,0,0,,0,0,"我們正在尋找一位有具備創新思維且勇於挑戰的人才加入我們的團隊。
在這個職位您將能接觸到公司 AI 相關領域的服務與訓練，
期待與您共同打造出屬於 XRSPACE 最佳產品和服務！

【您將會執行這些工作】
[AI 領域產品]
．模型測試
．蒐集資料並協助建立資料庫
．合作提案發想/單位接洽
．監控成效與數據整理
．推廣素材製作

[內、外部溝通]
．產品執行溝通
．協助客戶經營事項 

[其他例行事項]
．定期文書/資料整理

【希望您具備這些經驗與能力】
．熱愛網路社群生態、喜歡隨時 follow 最新時事與資訊
．經常活躍於各大學生論壇平台 ( 例如: Dcard / Zuvio / FB校園版...等等 )
．樂於挑戰，勇於嘗試新事物
．能夠獨立作業，具備有效執行交辦事項的能力
．細心、抗壓性佳，能控管專案進度與時程


如果您渴望在變化快速的 AI 新創中成長、喜歡彈性自由的工作環境、喜歡自主解決問題也喜歡與人合作，那我們在找的就是您！
 ★ 點擊【應徵】，讓我們認識彼此，我們想和您聊聊未來可以一起完成的事！","{'emp': {'desc': '員工90人', 'param': '5'}}",距捷運民權西路站約290公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/83ln2?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/83ln2?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bk45z?jobsource=n104bank2'}",,【Marketing】Digital Marketing Intern,未來市股份有限公司,121.5221507,25.064302,0,[],H,0.29,99001002012,捷運民權西路站,False,intern
0,14512899,Web Frontend Intern,Web Frontend <em class='b-txt--highlight'>Intern</em>,2,2,6001001011,台北市南港區,園區街3之2號9樓,"【關於我們】
InterAgent 致力於協助中小型製造業轉型為智慧工廠，運用 AI 技術加速邁向智慧製造。我們需要優秀的專案管理人才加入，作為客戶與技術團隊之間的重要橋樑。


【工作內容 Job Description】
在 InterAgent，工程師的任務是讓每個使用 SARA 的人都能夠擁有滿意且直覺的使用體驗，你必須擁有對做好一個產品極大的熱情，因為我們相信一個讓人信賴的平台，是由背後每一位工程師努力追求卓越，在乎每一個小細節而來。


【為什麼選擇 InterAgent？】
- 實際參與產品開發，累積實戰經驗
- 開放式的溝通文化，能直接和主管進行溝通
- 接觸主流前端技術，解決真實世界的問題
- 參與複雜產業，解決具有挑戰性的專案


【你在這裡會遇到的挑戰與工作內容有】
- 一同與團隊合作參與產品開發，參與改變整個產業的網頁新功能開發
- 建構穩定、可維護、重用性高的前端程式
- 學習與研究最新技術，並將其應用在專案與優化使用者體驗當中


【我們在意的特質有】
- 求知慾與學習態度
- 解決問題的能力
- 團隊合作精神
- 對技術的熱情
- 勇於接受挑戰的態度
- 加入 InterAgent，你將有機會參與改變製造業的創新旅程，在專業且充滿活力的環境中成長，一同打造智慧製造的未來！


【Why Choose InterAgent?】
- Gain hands-on experience through real product development
- Open communication culture with direct access to manager
- Work with cutting-edge frontend technologies to solve real-world problems
- Engage with complex industries and tackle challenging projects


【Challenges and Opportunities You&#039;ll Experience】
- Collaborate with the team on product development and industry-changing web features
- Build stable, maintainable, and reusable frontend code
- Learn and research latest technologies while applying them to enhance user experience


【Qualities We Value】
- Curiosity and eagerness to learn
- Problem-solving abilities
- Team spirit
- Passion for technology
- Willingness to embrace challenges

","【關於我們】
InterAgent 致力於協助中小型製造業轉型為智慧工廠，運用 AI 技術加速邁向智慧製造。我們需要優秀的專案管理人才加入，作為客戶與技術團隊之間的重要橋樑。


【工作內容 Job Description】
在 InterAgent，工程師的任務是讓每個使用 SARA 的人都能夠擁有滿意且直覺的使用體驗，你必須擁有對做好一個產品極大的熱情，因為我們相信一個讓人信賴的平台，是由背後每一位工程師努力追求卓越，在乎每一個小細節而來。


【為什麼選擇 InterAgent？】
- 實際參與產品開發，累積實戰經驗
- 開放式的溝通文化，能直接和主管進行溝通
- 接觸主流前端技術，解決真實世界的問題
- 參與複雜產業，解決具有挑戰性的專案


【你在這裡會遇到的挑戰與工作內容有】
- 一同與團隊合作參與產品開發，參與改變整個產業的網頁新功能開發
- 建構穩定、可維護、重用性高的前端程式
- 學習與研究最新技術，並將其應用在專案與優化使用者體驗當中


【我們在意的特質有】
- 求知慾與學習態度
- 解決問題的能力
- 團隊合作精神
- 對技術的熱情
- 勇於接受挑戰的態度
- 加入 InterAgent，你將有機會參與改變製造業的創新旅程，在專業且充滿活力的環境中成長，一同打造智慧製造的未來！


【Why Choose InterAgent?】
- Gain hands-on experience through real product development
- Open communication culture with direct access to manager
- Work with cutting-edge frontend technologies to solve real-world problems
- Engage with complex industries and tackle challenging projects


【Challenges and Opportunities You'll Experience】
- Collaborate with the team on product development and industry-changing web features
- Build stable, maintainable, and reusable frontend code
- Learn and research latest technologies while applying them to enhance user experience


【Qualities We Value】
- Curiosity and eagerness to learn
- Problem-solving abilities
- Team spirit
- Passion for technology
- Willingness to embrace challenges

",大學,00,不拘,00007,2,6~10人應徵,130000000154369,塔台智能網絡股份有限公司,1001001002,電腦軟體服務業,0032000,0048000,"月薪32,000~48,000元",50,20250602,6/02,0,0,,0,0,"【關於我們】
InterAgent 致力於協助中小型製造業轉型為智慧工廠，運用 AI 技術加速邁向智慧製造。我們需要優秀的專案管理人才加入，作為客戶與技術團隊之間的重要橋樑。


【工作內容 Job Description】
在 InterAgent，工程師的任務是讓每個使用 SARA 的人都能夠擁有滿意且直覺的使用體驗，你必須擁有對做好一個產品極大的熱情，因為我們相信一個讓人信賴的平台，是由背後每一位工程師努力追求卓越，在乎每一個小細節而來。


【為什麼選擇 InterAgent？】
- 實際參與產品開發，累積實戰經驗
- 開放式的溝通文化，能直接和主管進行溝通
- 接觸主流前端技術，解決真實世界的問題
- 參與複雜產業，解決具有挑戰性的專案


【你在這裡會遇到的挑戰與工作內容有】
- 一同與團隊合作參與產品開發，參與改變整個產業的網頁新功能開發
- 建構穩定、可維護、重用性高的前端程式
- 學習與研究最新技術，並將其應用在專案與優化使用者體驗當中


【我們在意的特質有】
- 求知慾與學習態度
- 解決問題的能力
- 團隊合作精神
- 對技術的熱情
- 勇於接受挑戰的態度
- 加入 InterAgent，你將有機會參與改變製造業的創新旅程，在專業且充滿活力的環境中成長，一同打造智慧製造的未來！


【Why Choose InterAgent?】
- Gain hands-on experience through real product development
- Open communication culture with direct access to manager
- Work with cutting-edge frontend technologies to solve real-world problems
- Engage with complex industries and tackle challenging projects


【Challenges and Opportunities You&#039;ll Experience】
- Collaborate with the team on product development and industry-changing web features
- Build stable, maintainable, and reusable frontend code
- Learn and research latest technologies while applying them to enhance user experience


【Qualities We Value】
- Curiosity and eagerness to learn
- Problem-solving abilities
- Team spirit
- Passion for technology
- Willingness to embrace challenges

","{'emp': {'desc': '員工7人', 'param': '2'}}",距捷運南港軟體園區站約440公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8n283?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8n283?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6blaf5?jobsource=n104bank2'}",,Web Frontend Intern,塔台智能網絡股份有限公司,121.6119783,25.0583599,0,[],M,0.44,99001001023,捷運南港軟體園區站,False,intern
2,14669799,數據編輯實習生 / Data Intern,數據編輯實習生 / Data <em class='b-txt--highlight'>Intern</em>,2,2,6001001003,台北市中山區,捷運行天宮站旁步行五分鐘,"數據編輯實習生 Data [[[Intern]]]｜探索數據世界的第一步

[我們在找誰？]
如果妳每天⼀打開手機/電腦就是逛社群、看新聞或追排⾏榜，想搞懂網路熱議話題的背後邏輯脈絡，那你就是我們要找的數據實習⽣！
我們是⼀個結合數據分析技術與網路輿情洞察的","數據編輯實習生 Data Intern｜探索數據世界的第一步

[我們在找誰？]
如果妳每天⼀打開手機/電腦就是逛社群、看新聞或追排⾏榜，想搞懂網路熱議話題的背後邏輯脈絡，那你就是我們要找的數據實習⽣！
我們是⼀個結合數據分析技術與網路輿情洞察的",大學,00,不拘,0,1,0~5人應徵,130000000072800,大數據股份有限公司,1001001006,其它軟體及網路相關業,0000190,0000190,時薪190元,30,20250602,6/02,266240,0,,0,0,"數據編輯實習生 Data <em class='b-txt--highlight'>Intern</em>｜探索數據世界的第一步

[我們在找誰？]
如果妳每天⼀打開手機/電腦就是逛社群、看新聞或追排⾏榜，想搞懂網路熱議話題的背後邏輯脈絡，那你就是我們要找的數據實習⽣！
我們是⼀個結合數據分析技術與網路輿情洞察的","{'emp': {'desc': '員工80人', 'param': '5'}, 'remote': {'desc': '遠端工作'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8qfaf?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8qfaf?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bjjhc?jobsource=n104bank2'}",,數據編輯實習生 / Data Intern,大數據股份有限公司,121.53318,25.05972,2,[],H,,,,True,intern
2,13264110,精算分析實習生 Actuarial Intern,精算分析實習生 Actuarial <em class='b-txt--highlight'>Intern</em>,1,1,6001001004,台北市松山區,敦化北路168號B1,"1. 協助各項統計報表及報告編製(含壽險公會及保發中心但不限於)。
2. 協助死亡率、罹患率及脫退率經驗資料彙整。
3. 協助RBC填報作業。
4. 主管交辦事項。","1. 協助各項統計報表及報告編製(含壽險公會及保發中心但不限於)。
2. 協助死亡率、罹患率及脫退率經驗資料彙整。
3. 協助RBC填報作業。
4. 主管交辦事項。",大學,00,不拘,00007,2,6~10人應徵,84894313000,宏泰人壽保險股份有限公司(總公司),1004003001,人身保險業,0030000,9999999,"月薪30,000元以上",50,20250602,6/02,4096,0,,0,0,"1. 協助各項統計報表及報告編製(含壽險公會及保發中心但不限於)。
2. 協助死亡率、罹患率及脫退率經驗資料彙整。
3. 協助RBC填報作業。
4. 主管交辦事項。","{'emp': {'desc': '員工800人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7wani?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7wani?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/12zzvr54?jobsource=n104bank2'}",,精算分析實習生 Actuarial Intern,宏泰人壽保險股份有限公司(總公司),121.5484948,25.05654,0,"['統計學相關', '數理統計相關']",M,,,,True,intern
2,14523239,【2025 Summer Internship】Mechanical Engineer Intern,【2025 Summer Internship】Mechanical Engineer <em class='b-txt--highlight'>Intern</em>,1,1,6001002004,新北市汐止區,新台五路一段90號8樓," solutions for leading data centers.  The mechanical [[[intern]]] for Wiwynn HQ.

實習期間：06/23-08/22

Essential Job Functions: 
1. Assist in"," solutions for leading data centers.  The mechanical intern for Wiwynn HQ.

實習期間：06/23-08/22

Essential Job Functions: 
1. Assist in",大學,00,不拘,00007,2,6~10人應徵,53687704000,緯穎科技服務股份有限公司,1001003001,電腦及其週邊設備製造業,0030000,9999999,"月薪30,000元以上",50,20250602,6/02,3412096,0,,0,0," solutions for leading data centers.  The mechanical <em class='b-txt--highlight'>intern</em> for Wiwynn HQ.

實習期間：06/23-08/22

Essential Job Functions: 
1. Assist in","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工3000人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8na7b?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8na7b?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/onw9tj4?jobsource=n104bank2'}",,【2025 Summer Internship】Mechanical Engineer Intern,緯穎科技服務股份有限公司,121.6478659,25.0603727,0,"['機械工程相關', '航太工程相關']",M,,,,False,intern
