Company,Job Title,Full Description,Tags,Job URL
Dell Technologies,2025 Product Management Summer Intern,"**歡迎身心障礙者投遞履歷
Our Product Management team is responsible for commercial desktop activities designed to increase sales growth and expand market share; we provide inputs to product development based on client needs.
Join us as a Product Management Summer Intern on our Product Management team in Taipei to do the best work of your career and make a profound social impact.
What you’ll achieve
As a Product Management Summer Intern, you will oversee market research, monitor competitive activity, and identify customer needs, as well as develop and implement strategic marketing plans and objectives to respond to changing and competitive markets.
You will:
- Participate in market research analysis and strategy recommendation
- Work with stakeholder teams to manage a product's life cycle
- Assist in the planning and implementation of product launches, core positioning and messaging, sales training and marketing programs for assigned products
- Interfaces with cross-function stakeholders",[],https://www.cake.me/companies/DellTechnologies/jobs/2025-product-management-summer-intern
Tera Thinker,Global Business and Marketing Intern,"We are seeking proactive and innovative Global Business and Marketing Interns to join the Tera Thinker team, to refine and expand the market of current products, and help launch a new SaaS service.
In this role, you will conduct market research, define the product vision, develop business models, and execute go-to-market strategies, gaining hands-on experience in every stage of a product launch—from initial concept to official release. While supporting our existing online learning platform, you will also focus on bringing a brand-new service to global markets. This internship offers a unique opportunity to build practical business skills and learn to leverage AI tools in today’s tech-driven world.
Job Responsibilities
Market Research and Opportunity Identification (20%)
Conduct thorough research into global markets, focusing on AI, Edu-tech, and HR-tech, to pinpoint trends, customer needs, and untapped opportunities.
Study competitors’ products and strategies to map out the competitive landscape and highlight areas where we can differentiate.
Summarize your insights into clear, actionable recommendations to shape the product’s direction and strategy.
Product Vision and Specification Design (20%)
Partner with the Product Owner to define the product’s vision, positioning, and key features, ensuring it solves real market problems.
Help draft high-level product specifications that align customer needs with what’s technically achievable.
Team up with R&D to ensure the product’s design stays practical and innovative, bridging market demands with technical realities.
Business Model and Go-to-Market Strategy Development (30%)
Assist in building a solid business model, exploring pricing options, revenue sources, and cost structures for long-term success.
Contribute to the go-to-market plan by identifying target audiences, choosing effective marketing channels, and crafting compelling messages for early adopters.
Support the development of marketing materials and campaigns to spark interest and test the product’s fit in the market.
Execution and Iterative Improvement of Launched Product (30%)
Get involved in launching initial marketing efforts, like pilot programs or early adopter campaigns, to bring the product to its first users.
Gather and analyze feedback from these early users to spot what’s working and what needs tweaking.
Use real-world data to refine the product and strategy, keeping them in sync with customer expectations and market shifts.",[],https://www.cake.me/companies/tera-thinker/jobs/global-business-and-marketing-intern
Hour Loop 飛輪電商,【亞馬遜Amazon】電商實習生 (兼職、轉正機會) Amazon Project Assistant Intern（Part-time）,"【Hour Loop 飛輪電商】在2013年成立，並於2022年初在美國那斯達克上市。作為亞馬遜 (Amazon) 第三方賣家，我們的工作不只廠商開發，還包括商品上架、價格制定，以及物流與庫存管理，通通一手包辦。
在百萬競爭對手中，我們透過獨特的營運模式，成功實現十年來的持續成長，並脫穎而出，在2022年底躍升為亞馬遜 (Amazon) 前十名的賣家！
我們提供彈性且暢通的職涯管道，不綁年資，端看績效表現，從「獨立貢獻者」到「管理職」適性發展！如果你喜歡打磨自身專業能力，鑽研獨立的工作項目，便適合獨立貢獻者的角色；若你有準確遠見，善於溝通和帶領團隊，你可能就是未來的帶人主管！
我們提供彈性且暢通的職涯管道，讓你從實習生就能參與重要專案並獨立解決問題！
1. 職涯發展管道：
入職新人由專案助理實習生 （Project Assistant Intern）職位任用，於入職前即確認未來任職團隊，入職後有一個月針對亞馬遜平台完整教育訓練。畢業後若表現優異依據部門類別晉升，晉升為 業務部 業務經理（Business Department - Business Manager）：做自己的CEO！管理國外廠商與產品銷售狀況，因應季節性需求客製化各項產品銷售策略、進貨數量與販售價格。
2. 工作內容：
(1)市場洞察與產品開發：
分析市場銷售數據及季節性趨勢，挖掘具有高潛力的商品，精準對接消費需求。
(2)策略性採購支援：
與業務經理合作，制定高效的進貨策略，確保庫存量最適化，並滿足市場需求。
(3)銷售表現追蹤：
持續追蹤產品銷售狀況，及時調整策略，提升銷售表現與增長機會。
(4)利潤分析：
進行詳細的產品利潤分析，根據數據提供最佳採購建議，實現最大化利潤。
(5)定價策略優化：
根據市場變化，實施調整定價策略，確保產品保持競爭力並維持健康利潤率。
(6)流程優化：
持續優化現有工作流程，提升運營效率，支持業務的順利運作。
3.教育訓練規劃
針對各電商平台特性與需求安排學習內容，包含基本日常營運操作、銷售預測分析、毛利優化策略等，以利後續發展有效成長策略訂定基礎。","['Excel', 'Tableau', 'Looker Studio', '']",https://www.cake.me/companies/hour-loop/jobs/f19e15
Dell Technologies,2025 Supply Chain Summer Intern (R250980),"**歡迎身心障礙者投遞履歷
2025Supply Chain Summer Intern
Everything in Dell Technologies is ground-breaking, from the designers of our products to the developers of our supply systems. Our Supply Chain team within Materials and Purchasing drives the development, implementation and management of supply chain operations and suppliers in the delivery of strategic programs. It’s all about managing supplier relationships and ensuring the availability of parts and services in the supply chain, while maintaining inventory at acceptable levels. We focus our resources on the continuous improvement of the movement of materials through production processes and establishing key performance metrics and benchmarks relating to supply chain planning and forecasting.
Join us as a Supply Chain Summer Internon our Supply Chainteam in Taipei to do the best work of your career and make a profound social impact.
What you’ll achieve
As a Supply Chain Summer Intern, you willbe responsible for global supply planning for their specific platform/commodity area. Ensures sourcing efforts meet business goals and objectives. Engages activities related to global sourcing, supplier selection, product delivery specifications, and quality.
You will:
- Perform analysis and identify areas for performance improvement
- Engage with suppliers and internal teams to ensure product availability at product launch or assure capacity and continuity of supply for specific components
- Focus resources on continuous improvement of the movement of materials through various production processes to improve efficiency, effectiveness and capabilities of the supply chain.
- Involve in supply chain processes integrations and the flow of materials among suppliers, operations/manufacturing, distributors, purchasing and customers.",[],https://www.cake.me/companies/DellTechnologies/jobs/2025-supply-chain-summer-intern-r250980
inline 樂排股份有限公司,AI Operation Intern,"關於這個職位
作為
inline
AI Operation Intern
，你將會參與早期產品的調研與資料整理，和我們一起探索 AI 的市場潛力。我們需要你幫助我們：
整理、分類各類
商家資料
，依照經營型態等方式分類貼標
分析使用者的搜尋模式
研究並分析市場上相關產品
協助產品上線活動規劃
實習資訊
實習期間
：彈性安排，每週至少 3 天，期望配合至少 3 個月
工作地點
：台北辦公室
薪資待遇
：按時數核算
其他福利：
每日午餐 UberEats 補助
你會收穫什麼？
熟悉多樣化 AI 工具與平台，建立產業視野
參與真實產品的分析與定位，提升產品策略思維
與核心團隊密切合作，累積實戰經驗與職場軟實力",[],https://www.cake.me/companies/inline/jobs/ai-operation-intern
Micron Technology,2025 Micron Summer Internship Program,"English Below
【暑期實習】台灣美光2025 Summer Intern - (桃園/台中)
接觸職場的第一步, 就從實習開始，接觸半導體的第一步，就從美光開始！
我們正在尋找想體驗半導體科技，想要挑戰自己和優秀的你來成為我們的實習生。
你將有機會參與個別部門的專案計畫，獲得半導體產業實務學習經驗，為成為一位專業的工程師奠定基礎。
【為什麼要加入我們】
實習專案/導師制度：每位實習生將進行為期2個月的專業/專案實習，部門指派Mentor做為實習生的專屬導師，除了教導與協助專業問題外，更為實習生提供職涯發展上的意見。
透過新人教育訓練課程、專屬座談活動及期末成果發表會，凝聚實習生們的團隊情感和向心力。美光不僅在乎你專業上的成長，更在乎你在美光的生活。
美光可以讓你接觸來自台灣各學校的優秀同儕，來自全世界的頂尖工程師。
【精彩的實習生活】
Volunteerism: 參與美光志工活動，與實習生們互動交流，體驗正向友好的職場氛圍
Function Sharing: 無論你來自哪個部門，你都有機會了解其他部門的運作和職掌，成為美光的小百科
Cultural Exchange: 來自不同國家的實習生們互動交流，拓展全球化視野
Senior Leader Symposium: 與美光高階主管一起座談，了解產業及美光未來發展趨勢 ，讓你的職涯之路更加光明
【實習相關資訊】
實習地點：
•    台中中科后里園區
•    桃園林口華亞科技園區
實習期間：2025/7/1(二)-2024/8/31(日)
實習薪資：工程部門月薪50,000元，其他職缺另計
招募職務：請至美光台灣職缺招募網站了解更多
招募對象：
•    博士生(預計兩年內將畢業)
•    碩一升碩二學生(不含在職專班)
•    大四升碩一學生
申請書填寫:
https://micron.az1.qualtrics.com/jfe/form/SV_3kfRlYn0LtS5A2i
(請務必於Workday中申請此職缺，並填寫此申請表單)
【Summer Internship】2025 Taiwan Micron Summer Intern - (Taoyuan/Taichung)
First step to workplace, start from an internship, first step to semiconductor, start from Micron!
We are looking for brilliant, self-challenged students and willing to experience the technology of semiconductor industry!
You will have an opportunity to join different projects in department, gaining practical experience in the semiconductor industry, and well prepared to be a professional engineer.
【Why join us?】
Projects and Mentorship: Each intern would undergo a professional internship for 2 months, department will assign mentor as your exclusive tutor, not only mentoring and assisting in professional issues, but also providing advice for your career development.
To coherent interns' team spirits and sense of belonging through newcomer training program. Micron not only care about your growth of professional, we do care more about your living in Micron.
Meet talented peers and colleagues from all colleges in Taiwan, top engineers from different countries in Micron.
【Interesting internship experience】
Volunteerism: Interact with the interns, experience positive and friendly workplace atmosphere.
Function Sharing: In addition to your own departments, can also understand the responsibilities of others
Cultural exchange: Interact with interns from other countries to experience the real workplace in a global company
Senior leader symposium: Interact with senior executives to know the development trend of the industry and Micron.
【Internship information】
Location：
•    Taichung, Houli Science Park
•    Taoyuan, Hwa Ya Technology Park
Internship period：2025/7/1(Tue.)-2025/8/31(Sun.)
Salary：NTD $50,000 monthly (Engineering)
Hiring Position：Please explore the Micron Taiwan Career website for further information
Target students：
•    PhD students expected to graduate within 2 years
•   Post graduate student from 1st year to 2nd year
•    Year 4 college student to post graduate
Application Form:
https://micron.az1.qualtrics.com/jfe/form/SV_3kfRlYn0LtS5A2i
(Please be sure to apply this position in workday and fill out this application form as well)
.
About Micron Technology, Inc.
We are an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life for all. With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high-performance DRAM, NAND, and NOR memory and storage products through our Micron® and Crucial® brands. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence and 5G applications that unleash opportunities — from the data center to the intelligent edge and across the client and mobile user experience.
To learn more, please visit micron.com/careers
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
To request assistance with the application process and/or for reasonable accommodations, please contact  at
[email protected]
.
Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards.
Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron.",[''],https://www.cake.me/companies/micron-technology/jobs/internship-evergreen
Platinum International Consultants Ltd.,【2025佰德實習計畫】獵頭實習生 Recruitment Consultant Intern (台北/新竹),"Platinum International Consultants 是一家專業獵才顧問公司，
服務橫跨科技、金融、製造與新創等領域，總部位於台北並拓展至亞洲各主要市場。
我們誠摯邀請對「招募產業」、「商業策略」與「人才市場」有興趣的你，
加入我們的半年制實習計畫！
—我們相信，好的實習不是從旁觀察，而是讓你真正參與、實戰學習。—
在這裡，你將走進顧問的第一線、和專案一起成長，
透過實務任務建立職場核心能力與顧問視角，為自己的職涯熱身，預約未來的第一步。
【實習工作內容】
- 協助顧問進行候選人搜尋、初步聯繫與資料整理
- 參與職缺分析、市場研究與人才名單建置
- 支援顧問處理面談邀約與後續追蹤
- 經由 Mentor 帶領，逐步參與推薦流程與候選人經營
- 協助撰寫職缺文案、履歷摘要與報告簡報
- 執行獨立小專案（如產業 mapping、人選 pool 策略等）
【你將獲得】
- 參與實戰招募流程、建立顧問工作基礎能力
- 一對一顧問 Mentor 指導與每月成長回饋
- 實習證明與顧問推薦信
- 優秀者可獲轉正機會，進一步成為全職獵頭顧問
【實習地點】
- 台北 or 新竹 (擇一地點，實習過程不會輪調)",[],https://www.cake.me/companies/platinum-international-consultants-ltd/jobs/759d83
Cake,Business & Marketing Intern - (Global & Malaysia Market),"About Cake
Established in 2016 in Taiwan, Cake is an international talent community and platform providing comprehensive solutions for job seekers. By offering AI tools for resumes and portfolios, job search strategies, networking resources, and international job opportunities, Cake meets all needs in career development. With over 8 million users worldwide and collaborations with over 10,000 companies, Cake helps talent find the most suitable place at different stages of their careers.
Cake Business Team Culture
Values that are the foundation of our team culture, which every member embodies:
Raise the bar
- Impact matters. Stay focused and curious.
Think big & hustle
- Push for bold, thoughtful, and rapid innovation.
People first
- Prioritize development and wellbeing. Help people flourish and feel valued.
Transparency builds trust
- Communicate with candor, honesty, and respect.
Strength through inclusion
- Welcome all voices. What makes you unique makes us all strong.
One team, one dream
- Pride and passion for our mission. Work collaboratively and have fun.
👉 Why Cake Business Team?
Job Intro
Cake is seeking highly-intelligent, high-judgment, self-motivated interns to join our Business Development teams to grow our business in
Taiwan
and
Malaysia markets.
As a Business Operations & Marketing Intern at Cake, you will have the opportunity to bring our Client's brand story to life in a way that invites, excites, and ignites top talent in global market. You will work directly with the Business Development team in executing the local content strategy to position hiring partners as an employer of choice.
Responsibilities
Supporting our strategy, business operation and employer brand promotion activities, as well as local recruitment marketing activities, in key markets including Taiwan and Malaysia.
Localizing global content for the regional market, adapting campaigns and relevant content for different segments.
Understanding local hiring/recruiting trends to be able to provide insight to regional lead
Creating and curating content on key social media platforms, career site, and other relevant touch-points through creative storytelling leveraging employee advocacy, stories, and multimedia.
Supporting the promotion of hiring activities such as career fairs, hackathons, and local internship programs.
Establishing a strong relationship and collaborating with Hiring Partners (clients) stakeholders to understand and support their talent attraction goals.","['CakeResume2024校園徵才職缺', 'Growth Hacking', 'Social Media Marketing', '', '']",https://www.cake.me/companies/cake/jobs/9cc88d
拓荒數碼科技股份有限公司,Social Marketing Intern 社群行銷實習生,"Job Description:
Assist the Social Marketing Specialist in executing marketing plans on Facebook, Instagram, and YouTube.
Help create Reels scripts and learn video shooting and editing skills.
Manage content scheduling and posting on social media platforms to maintain activity.
Monitor community feedback, assist in data organization, and provide reports.
Assist in planning online events to increase fan engagement.
Benefits:
Internship stipend and learning opportunities.
Flexible working hours with remote work options.
Opportunity to participate in cutting-edge blockchain projects and gain valuable hands-on experience
Regular employee afternoon tea and team building
Unlimited snacks and coffee supply
工作內容
協助社群行銷專員在 Facebook、Instagram、YouTube 等平台上執行行銷計劃
協助創作 Reels 腳本並學習影片拍攝、剪輯技巧
負責社群平台內容的排程與發佈，維持平台的活躍度
監控社群反饋，協助整理數據並提供報告
協助策劃線上活動並增進粉絲互動
協助蒐集網紅名單，以利品牌進行後續合作
福利待遇
提供實習津貼及學習機會
靈活的工作時間安排，支持遠距工作
有機會參與高科技區塊鏈項目，累積寶貴的實戰經驗
定期員工下午茶與 Team Building
零食咖啡無限供應",[],https://www.cake.me/companies/ZONEWallet/jobs/social-marketing-intern-558966
伊斯酷軟體科技股份有限公司,Sales Intern,"Job Overview:
We are looking for a motivated and dynamic
Sales Intern
to assist in lead generation through cold calling and cold email campaigns. This role is an excellent opportunity to gain practical experience in a fast-paced sales environment, while contributing to the growth of the company. You will support the sales team by identifying potential leads, initiating contact, and nurturing relationships.
Key Responsibilities:
•	Conduct cold calls to prospective clients to introduce the company’s products/services.
•	Draft and send personalized cold emails to engage potential leads.
•	Research potential leads and maintain accurate records of contacts in the CRM system.
•	Follow up with leads via phone and email to set up meetings or product demos.
•	Support the sales team with other lead generation and prospecting tasks.
•	Assist in tracking and reporting key performance metrics such as response rates and conversions.
•	Collaborate with the sales and marketing teams to improve outreach strategies.
•	Learn and stay updated on product features and industry trends.
What We Offer:
•	Hands-on experience in a real-world sales environment.
•	Mentorship and guidance from experienced sales professionals.
•	Opportunity to learn about business development, sales strategies, and client relationships.
•	Flexible hours that can fit around your academic schedule.
•	Potential for full-time employment after the internship.","['Hubspot', 'Cold Calling']",https://www.cake.me/companies/iscoollab/jobs/sales-intern
